iso_code,year,date,total_cases,total_deaths,vaccinated_rate,fully_vaccinated_rate,booster_rate,population,country,cases_per_million,deaths_per_million
COK,2021,2021-12-31,0.0,0.0,75.39,73.38,,,Cook Islands,,
COK,2022,2022-12-31,6625.0,1.0,88.56,86.4,59.94,,Cook Islands,,
CRI,2020,2020-12-31,164062.0,2103.0,0.0,,,5034320.0,Costa Rica,32588.71108709816,417.7326828648159
CRI,2021,2021-12-31,569523.0,7349.0,76.14,67.66,5.91,5059988.0,Costa Rica,112554.21949617272,1452.3749858695317
CRI,2022,2022-12-31,1161687.0,9072.0,88.54,82.82,53.55,5081765.0,Costa Rica,228599.11861331644,1785.2065178141847
CIV,2020,2020-12-31,22081.0,134.0,,,,28915449.0,Côte d'Ivoire,763.6402256800508,4.634200907618623
CIV,2021,2021-12-31,63847.0,707.0,17.58,7.68,,29639736.0,Côte d'Ivoire,2154.101507516801,23.853113941365738
CIV,2022,2022-12-31,87933.0,830.0,46.69,41.41,7.21,30395002.0,Côte d'Ivoire,2893.008528178416,27.307121085236314
HRV,2020,2020-12-31,204312.0,3613.0,0.2,,,3914206.0,Croatia,52197.55935175614,923.0479949190207
HRV,2021,2021-12-31,693102.0,12279.0,56.06,48.47,,3878981.0,Croatia,178681.46299247147,3165.5220791233573
HRV,2022,2022-12-31,1261766.0,17515.0,57.58,55.84,14.76,3855641.0,Croatia,327251.9407278842,4542.694716650228
CUB,2020,2020-12-31,11038.0,141.0,,,,11176354.0,Cuba,987.6208287604346,12.615921077660925
CUB,2021,2021-12-31,964607.0,8320.0,93.19,86.27,19.39,11122168.0,Cuba,86728.32490931624,748.0555949163869
CUB,2022,2022-12-31,1111827.0,8530.0,95.6,89.22,77.37,11059820.0,Cuba,100528.48961375502,771.2602917588171
CUW,2020,2020-12-31,4051.0,12.0,,,,155482.0,Curaçao,26054.462896026547,77.17935195070812
CUW,2021,2021-12-31,18299.0,186.0,54.6,50.54,8.42,153948.0,Curaçao,118864.81149479044,1208.200171486476
CUW,2022,2022-12-31,45707.0,299.0,56.81,52.29,24.83,153321.0,Curaçao,298113.10909790575,1950.1568604431225
CYP,2020,2020-12-31,19392.0,114.0,,,,1302247.0,Cyprus,14891.184237706058,87.54099644691061
CYP,2021,2021-12-31,149848.0,637.0,71.53,67.84,29.94,1317309.0,Cyprus,113753.11335457361,483.56156376370313
CYP,2022,2022-12-31,628509.0,1255.0,74.88,72.1,53.63,1331370.0,Cyprus,472076.8832105275,942.6380345058097
CZE,2020,2020-12-31,675062.0,11367.0,0.11,0.0,,10697858.0,Czech Republic,63102.53884469209,1062.5491570368574
CZE,2021,2021-12-31,2486451.0,35988.0,65.09,63.48,22.99,10505772.0,Czech Republic,236674.753649708,3425.545500130785
CZE,2022,2022-12-31,4577526.0,42099.0,66.49,65.69,49.0,10672118.0,Czech Republic,428923.85560204636,3944.7652284204505
DNK,2020,2020-12-31,151167.0,1159.0,0.0,,,5831404.0,Denmark,25922.916676669975,198.7514499081182
DNK,2021,2021-12-31,697563.0,3197.0,79.79,76.63,46.34,5856733.0,Denmark,119104.45635817785,545.8674657014413
DNK,2022,2022-12-31,3381851.0,7712.0,80.68,80.09,61.44,5903037.0,Denmark,572900.1868021495,1306.4461564445555
DJI,2020,2020-12-31,5805.0,61.0,,,,1105188.0,Djibouti,5252.500027144703,55.19422939807526
DJI,2021,2021-12-31,13568.0,189.0,3.45,2.33,,1121248.0,Djibouti,12100.801963526355,168.56217357801307
DJI,2022,2022-12-31,15690.0,189.0,28.32,26.5,,1137096.0,Djibouti,13798.307266932607,166.2128791236624
DMA,2020,2020-12-31,96.0,0.0,,,,67573.0,Dominica,1420.6857768635402,0.0
DMA,2021,2021-12-31,6559.0,45.0,40.44,37.96,,67202.0,Dominica,97601.26186720633,669.6229278890509
DMA,2022,2022-12-31,15760.0,74.0,45.35,42.14,5.49,66826.0,Dominica,235836.35112082123,1107.3534253135008
DOM,2020,2020-12-31,165940.0,2404.0,,,,11008300.0,Dominican Republic,15074.080466557052,218.38067639871736
DOM,2021,2021-12-31,413887.0,4237.0,61.79,50.76,12.9,11123476.0,Dominican Republic,37208.422978572526,380.90611244183026
